sentence,hiragana
サンプルなテキストらしい,さんぷるなてきすとらしい
よく来たね,よくきたね
さらさらした膝の皿,さらさらしたひざのさら
かなり独特,かなりどくとく
プレシャス,ぷれしゃす
寿司食べたい?,すしたべたい?
秘密結社ABC,ひみつけっしゃABC
パラメーター,ぱらめーたー
神は死んだみたい,かみはしんだみたい
語彙力の低下,ごいりょくのていか
フルスロットル,ふるすろっとる
大胆な温度変化,だいたんなおんどへんか
人間国宝,にんげんこくほう
千夜一夜物語,せんやいちやものがたり
灰の少女シンデレラ,はいのしょうじょしんでれら
3本の矢,3ぼんのや
玉ねぎのみじん切り,たまねぎのみじんぎり
大人と子供,おとなとこども
大型アップデート,おおがたあっぷでーと
分厚い辞書,ぶあついじしょ
酢酸エチル,さくさんえちる
きりきり舞い,きりきりまい
ファンデーション,ふぁんでーしょん
被爆状況の推定,ひばくじょうきょうのすいてい
猫と犬、そして人間,ねこといぬ、そしてにんげん
独りでも楽しいクリスマス,ひとりでもたのしいくりすます
儚い思い出,はかないおもいで
危険人物の襲来,きけんじんぶつのしゅうらい
ざっくりジョーク,ざっくりじょーく
お疲れ様です,おつかれさまです
